location,Nationality,job_Category,EmploymentType,gender,Experience_years,min Education,Name,KeySkills
Nangarhar,National,Education,Full Time,Male,2-5 Years,BA,Position Title: School Principal,
Kabul,Any,Health Care,Full Time,Female,1-2 years,BA,Position Title: Receptionist,
Khost,National,Health Care,Full Time,Any,2-3 years,BA,Position Title: Orthopedic Surgeon (Share-based),Excellent patient management skills and patient-oriented approach
Herat,National,Health Care,Full Time,Female,1 year,MD,Position Title: Mentors,
Kabul,National,Business,Full Time,Male,5-7 years,BA,Position Title: The Business Research & Development Specialist,
Kabul,National,Business,Full Time,Male,5-7 years,BA,Position Title: Financial Analysis Specialist,
Kabul,National,Legal,Full Time,Male,4-7 years,MA,Position Title: Senior legal Specialist,
Kabul,National,Hospitality,Full Time,Any,3 Years,BA,Position Title: F&B Supervisor,
Kabul,National,Construction,Full Time,Male,7 Years,BA,Position Title: Proposal Writer ( Civil Engineer ),
Jawzjan,National,Agriculture,Full Time,Male,3-5 years,BA,Position Title: Project officer,
Kabul,National,Hospitality,Full Time,Any,3 Years,BA,Position Title: Sales/Marketing Officer,
Kabul,National,Hospitality,Full Time,Any,7 Years,BA,Position Title: Event Manager,
Kabul,National,Security,Full Time,Male,4 year,MA,Position Title: Security Officer,
Kabul,National,Business,Full Time,Male,3-4 Years,BA,Position Title: Field Manager,
Herat,National,Construction,Full Time,Any,6 years,BA,Position Title: Project Manager,
Kabul,National,Engineering,Full Time,Any,10 Years,BA,Position Title: Senior Landscape Design Engineer,
Kabul,National,Hospitality,Full Time,Male,5 Years,BA,Position Title: Guest House Manager and Events Coordinator,
Kabul,National,Business,Full Time,Any,7 years,BA,Position Title: MARKETING MANAGER,
Kabul,Any,Education,Part Time,Any,1-3 Years,BA,"Position Title: School Teachers, Cambridge Subjects (Computer, Chemistry, Mathematics, Biology, Physics, English) Headmistress & Cambridge Computer Teacher(Balkh)",
Balkh,Any,Education,Part Time,Any,1-3 Years,BA,"Position Title: School Teachers, Cambridge Subject: (Computer), Maref Subjects:(History, Geography) Maref subject:(Dari :for Kabul location)",
