location,Nationality,job_Category,EmploymentType,gender,Experience_years,min Education,Name,KeySkills
Kabul,International,Business,Part Time,Any,8-12 years,BA,Position Title: Grant Coordinator/Proposal Writer (international) only,
Kabul,Any,Business,Part Time,Female,8-12 years,BA,Position Title: Grant Coordinator/Proposal Writer (Female) only,
Kabul,National,Program/Project,Full Time,Male,3-5 years,BA,Position Title: Program Manager,Minimum 5 years’ proven experience in program management and or project management and at least 2 years in the humanitarian context with a focus on adult and child protection and safeguarding
Oruzgan,National,Security,Full Time,Male,3 years,BA,Position Title: Guard /Store Keeper,
Paktika,National,Health Care,Full Time,Female,2-3years,BA,Position Title: Prostatic and Orthotic technician,
Farah,National,Program/Project,Full Time,Any,1 Year,BA,Position Title: Nurse,At least one years’ experience in relevant clinical fields
Balkh,National,Education,Full Time,Any,3 Years,BA,Position Title: English Trainer,Excellent communication skills- both spoken and written
Kabul,National,Education,Full Time,Female,None,BA,Position Title: Pashto and English Teacher,
Kabul,National,Other,Full Time,Male,3-4 Years,BA,Position Title: Procurement and Documentation Officer,
Kabul,National,Hospitality,Full Time,Any,3 Years,BA,Position Title: F&B Supervisor,
Kabul,National,Information Technology,Full Time,Any,3years,BA,Position Title: Web and Social Media Administrator,
Kabul,National,Construction,Full Time,Male,7 Years,BA,Position Title: Proposal Writer ( Civil Engineer ),
Bamian,National,Program/Project,Full Time,Any,2 years,BA,Position Title: Project Assistant,
Bamian,National,Program/Project,Full Time,Any,4 years,BA,Position Title: Project Officer,
Bamian,National,Program/Project,Part Time,Any,3 years,BA,"Position Title: Computer Teacher "" 1 Male 1 Female""",14 graduate form Teacher Training Collage or Bachelor’s degree in Computer Science.
Bamian,National,Program/Project,Part Time,Any,3 years,MA,"Position Title: Literacy Teacher "" 1 Male 1 Female""",Good presentation skills.
Kabul,National,Program/Project,Part Time,Any,3 years,HS,"Position Title: Literacy Teacher "" 2 Male 2 Female""",Good presentation skills.
Kabul,National,Program/Project,Part Time,Male,3 years,BA,"Position Title: English Teacher "" 1 Male""",At least 3 years relevant experience
Kabul,National,Program/Project,Part Time,Any,3 years,BA,"Position Title: Science & Math Teacher "" 1 Male 1 Female""",At least 3 years relevant experience.
Kabul,National,Program/Project,Part Time,Male,4 years,BA,Position Title: Psychosocial counselor/ Peace Education Trainer,At least 3 -4 years relevant experience.
Herat,National,Program/Project,Part Time,Any,4 years,BA,Position Title: Psychosocial counselor/ Peace Education Trainer,At least 3 -4 years relevant experience.
Kabul,National,Program/Project,Part Time,Male,3 years,BA,Position Title: Vocational Trainer Mobile Repairer,At least 3 years relevant experience.
Bamian,National,Program/Project,Part Time,Male,2 years,BA,Position Title: Vocational Trainer - Mobile Repairer,At least 3 years relevant experiences in teaching and training in mobile repairing
Herat,National,Program/Project,Part Time,Male,3 years,HS,"Position Title: Vocational Trainer ""Mobile Repairer""",
Kabul,National,Sales,Full Time,Male,2-3 Years,HS,Position Title: Medical Representative ,
Badghis,National,Legal,Full Time,Any,3 Years,HS,Position Title: Protection Officer,"University degree, law and/or other social sciences faculties"
Kabul,National,Banking/Accounting,Full Time,Male,3 years,HS,Position Title: Chief Risk Officer (CRO) (Re Announced),Three years of managerial work experience in risk management of banks.
Kabul,National,Banking/Accounting,Full Time,Any,3 years,VD,Position Title: Deputy Chief Risk Officer (Dy CRO),Three years of managerial work experience in risk management of banks.
Kabul,National,Other,Full Time,Any,3 years,VD,Position Title: Digital Marketer,
Kabul,National,Business,Full Time,Any,5 years,BA,Position Title: Senior Financial Institution Officer,
Herat,Any,Pharmaceutical,Full Time,Any,7 years,MA,Position Title: Production Manager,
Kabul,National,Hospitality,Full Time,Any,3 Years,BA,Position Title: Sales/Marketing Officer,
Jawzjan,National,Other,Full Time,Any,3 years,BA,Position Title: Agribusiness Marketing Officer,At least three years of working experience in agriculture sector with local or international NGOs. and have better practical experience and working knowledge of community level microfinance and agribusiness development.
Kabul,National,Hospitality,Full Time,Any,7 Years,BA,Position Title: Event Manager,
Kabul,National,Program/Project,Full Time,Any,3-5 years,BA,Position Title: Safeguarding Coordinator,
Kabul,National,Program/Project,Full Time,Any,5 Years,BA,Position Title: Data Management Specialist,
Kabul,National,Program/Project,Full Time,Any,3 Years,BA,Position Title: Data Quality Control Officer,
Kabul,National,Program/Project,Full Time,Any,2 Years,MA,Position Title: Data Quality Controllers (DQCs),
Kabul,National,Program/Project,Full Time,Any,3 Years,BA,Position Title: Project Officer,
Jawzjan,National,Other,Full Time,Any,5 years,BA,Position Title: Senior Community-based Social Behavior Change (SBC) & Communication Officer,"Areas of communication, social mobilization, community engagement an advocacy"
Kabul,National,Education,Full Time,Any,3 years,BA,Position Title: Dean of Economics faculty,
Kabul,National,Banking/Accounting,Full Time,Any,3 years,MA,Position Title: Call for CV of fresh Economics and BBA graduates to be hired in different units of the Bank (Re Announced),
