location,Nationality,job_Category,EmploymentType,gender,Experience_years,min Education,Name,KeySkills
Kabul,International,Business,Part Time,Any,8-12 Years,MA,Position Title: Grant Coordinator/Proposal Writer (international) only,
Kabul,Any,Business,Part Time,Female,8-12  Years,MA,Position Title: Grant Coordinator/Proposal Writer (Female) only,
Paktika,National,Health Care,Full Time,Female,2-3years,BA,Position Title: Prostatic and Orthotic technician,
Kabul,National,Professional Services,Full Time,Any,3 years,BA,Position Title: Export development Spacialist,
Kabul,National,Professional Services,Full Time,Any,3 years,BA,Position Title: Export Policy specialist ,
Farah,National,Program/Project,Full Time,Any,1 Year,MD,Position Title: Nurse,At least one years experience in relevant clinical fields
Kabul,National,Education,Full Time,Female,None,BA,Position Title: Pashto and English Teacher,
Kabul,National,Other,Full Time,Male,3-4 Years,BA,Position Title: Procurement and Documentation Officer,
Kabul,National,Hospitality,Full Time,Any,3 Years,BA,Position Title: F&B Supervisor,
Kabul,National,Information Technology,Full Time,Any,3 years,BA,Position Title: Web and Social Media Administrator,
Kabul,National,Construction,Full Time,Male,7 Years,BA,Position Title: Proposal Writer ( Civil Engineer ),
Kabul,National,Sales,Full Time,Male,2-3 Years,BA,Position Title: Medical Representative,
Badghis,National,Legal,Full Time,Any,3 Years,BA,Position Title: Protection Officer,"University degree, law and/or other social sciences faculties"
Kabul,National,Banking/Accounting,Full Time,Male,3 years,BA,Position Title: Chief Risk Officer (CRO) (Re Announced),Three years of managerial work experience in risk management of banks.
Kabul,National,Banking/Accounting,Full Time,Any,3 years,BA,Position Title: Deputy Chief Risk Officer (Dy CRO),Three years of managerial work experience in risk management of banks.
Kabul,National,Business,Full Time,Any,3 years,BA,Position Title: Digital Marketer,
Kabul,National,Education,Part Time,Any,5 years,BA,Position Title: Instructor ,
Kabul,National,Business,Full Time,Male,3-5 years,MA,Position Title: Taxation Manager,
Kabul,National,Education,Full Time,Any,3 Years,BA,Position Title: Senior English Trainer (Re Announced),Excellent communication skills- both spoken and written
Kabul,National,Business,Full Time,Any,5 years,BA,Position Title: Senior Financial Institution Officer,
Herat,Any,Pharmaceutical,Full Time,Any,7 years,MA,Position Title: Production Manager,
Kabul,National,Health Care,Full Time,Male,10 years,BA,Position Title: Program Director,
Balkh,Any,Business,Full Time,Male,3 years,BA,Position Title: Marketing Manager,
Laghman,National,Construction,Full Time,Any,2 years,BA,Position Title: Assistant Engineer,
Kabul,National,Business,Full Time,Male,15 years,MA,Position Title: Director of Operations (Re Announced),"Strong interpersonal communication skills, including the ability to negotiate and maintain good relations with staff as well as outside parties"
Balkh,National,Design,Full Time,Any,1 year,BA,Position Title: Graphic Designer and video editor,
Kabul,National,Hospitality,Full Time,Any,3 Years,BA,Position Title: Sales/Marketing Officer,
Jawzjan,National,Agriculture,Full Time,Any,3 years,BA,Position Title: Agribusiness Marketing Officer,At least three years of working experience in agriculture sector with local or international NGOs. and have better practical experience and working knowledge of community level microfinance and agribusiness development.
Kabul,National,Hospitality,Full Time,Any,7 Years,BA,Position Title: Event Manager,
Kabul,National,Program/Project,Full Time,Any,5 Years,BA,Position Title: Certified Trainers,
Badghis,National,Other,Full Time,Any,3 years,BA,Position Title: Supply Chain Officer (Procurement),At least 3 years of progressively responsible experience in logistics
Herat,National,Business,Full Time,Any,3 years,HS,Position Title: Support Services Assistant for HDP filed camp,Three years of work experience in the relevant field
Kabul,National,Program/Project,Full Time,Any,3-5 years,BA,Position Title: Safeguarding Coordinator,
Badghis,National,Program/Project,Full Time,Any,2 years,BA,"Position Title: Monitoring, Evaluation, Accountability, and Learning Officer (MEAL Officer)",Minimum 2 years of relevant experience within the humanitarian field
Kabul,National,Program/Project,Full Time,Any,5 Years,BA,Position Title: Data Management Specialist,
Kabul,National,Program/Project,Full Time,Any,3 Years,BA,Position Title: Data Quality Control Officer,
Kabul,National,Program/Project,Full Time,Any,2 Years,BA,Position Title: Data Quality Controllers (DQCs),
Kabul,National,Program/Project,Full Time,Any,3 Years,BA,Position Title: Project Officer,
Nangarhar,National,Business,Full Time,Any,None,BA,Position Title: Administration and Finance Intern,Teamwork: develops and promotes effective collaboration within and across units to achieve shared goals and optimize results.
Kabul,National,Business,Full Time,Any,1-2 years,BA,Position Title: Risk Education Assistant ?Administration? (Female only),
Kabul,National,Business,Full Time,Any,None,BA,Position Title: Risk Education Assistant ?Administration? (Female only),At least (1-2) years of relevant experience
Kunar,National,Health Care,Full Time,Female,1 year,HS,Position Title: Female Cleaner,
Oruzgan,National,Program/Project,Full Time,Any,3 years,BA,Position Title: Monitoring and Evaluation (M&E) Officer,
Jawzjan,National,Education,Full Time,Any,5 years,MA,Position Title: Senior Community-based Social Behavior Change (SBC) & Communication Officer,"Areas of communication, social mobilization, community engagement an advocacy"
Kandahar,National,Other,Full Time,Any,None,BA,Position Title: Data Entry Intern,Teamwork: develops and promotes effective collaboration within and across units to achieve shared goals and optimize results.
Kandahar,National,Business,Full Time,Any,None,BA,Position Title: Administration and Finance Intern,Teamwork: develops and promotes effective collaboration within and across units to achieve shared goals and optimize results.
Zabul,National,Business,Full Time,Any,2 years,BA,"Position Title: Finance Assistant ""Zabul"" (Re Announced)",Minimum 2 years of relevant work experience
Herat,National,Other,Full Time,Any,None,BA,Position Title: Administration and Finance Intern,Teamwork: develops and promotes effective collaboration within and across units to achieve shared goals and optimize results.
Kabul,National,Security,Full Time,Any,4 years,MA,"Position Title: Safety, Security and Access Manager",Proactive and anticipative working style; effective in dealing with ambivalent situations;
Kabul,National,Business,Full Time,Any,2 years,MA,Position Title: Finance Manager,
Kabul,National,Business,Full Time,Any,2 years,BA,Position Title: Finance Assistant,
Badghis,National,Program/Project,Full Time,Any,2-3 years,BA,Position Title: Monitoring and Evaluation Officer,"Post-graduate certificate in M&E related field such as surveys, sampling, data analysis"
Kabul,Any,Program/Project,Full Time,Any,7 years,MA,Position Title: Organization Development Manager,Strong understanding of organizational development principles and practices.
