location,Nationality,job_Category,EmploymentType,gender,Experience_years,min Education,Name,KeySkills
Kabul,International,Business,Part Time,Any,8-12 years,MA,Position Title: Grant Coordinator/Proposal Writer (international) only,
Kabul,Any,Business,Part Time,Female,8-12 years,MA,Position Title: Grant Coordinator/Proposal Writer (Female) only,
Kabul,National,Health Care,Full Time,Female,1 year,MD,Position Title: Mentors,
Kabul,National,Business,Full Time,Any,3 year,BA,Position Title: Finance Officer,
Kabul,National,Professional Services,Full Time,Any,3 years,BA,Position Title: Export Development Specialist,
Kabul,National,Professional Services,Full Time,Any,3 years,BA,Position Title: Trade Policy Specialist,
Kabul,National,Business,Full Time,Male,6 years,BA,Position Title: Branch Manager,
Farah,National,Program/Project,Full Time,Any,1 year,BA,Position Title: Nurse,At least one years  experience in relevant clinical fields
Balkh,National,Education,Full Time,Any,3 years,BA,Position Title: English Trainer,Excellent communication skills- both spoken and written
Kabul,National,Other,Full Time,Male,3-4 years,BA,Position Title: Procurement and Documentation Officer,
Kabul,National,Information Technology,Full Time,Any,3 years,BA,Position Title: Web and Social Media Administrator,
Kabul,National,Construction,Full Time,Male,7 years,BA,Position Title: Proposal Writer ( Civil Engineer ),
Kabul,National,Sales,Full Time,Male,2-3 years,BA,Position Title: Medical Representative,
Kabul,National,Business,Full Time,Any,3 years,BA,Position Title: Digital Marketer,
Kabul,National,Business,Full Time,Any,5 years,MA,Position Title: HR Manager (Talent Acquisition & Management) (Re Announced),Master s degree in HR or MBA HRM or equivalent
Jawzjan,National,Business,Full Time,Any,3 years,BA,Position Title: Agribusiness Marketing Officer,At least three years of working experience in agriculture sector with local or international NGOs. and have better practical experience and working knowledge of community level microfinance and agribusiness development.
Kabul,National,Hospitality,Full Time,Any,7 years,BA,Position Title: Event Manager,
Jawzjan,National,Education,Full Time,Any,5 years,MA,Position Title: Senior Community-based Social Behavior Change (SBC) & Communication Officer,"Areas of communication, social mobilization, community engagement an advocacy"
Kabul,National,Education,Full Time,Any,3 years,MA,Position Title: Dean of Economics faculty,
Kabul,National,Banking/Accounting,Full Time,Any,1 year,BA,Position Title: Call for CV of fresh Economics and BBA graduates to be hired in different units of the Bank (Re Announced),
Kabul,National,Sales,Full Time,Male,4-5 years,BA,Position Title: Marketing Manager,
Kabul,National,Business,Full Time,Any,5 years,BA,Position Title: Head of Human Resources,
Balkh,Any,Business,Full Time,Any,4-8 years,MA,Position Title: On-Call Experts (On-site/ Off-site),
Kabul,National,Banking/Accounting,Full Time,Male,3 years,BA,Position Title: Chief Risk Officer,
Kabul,National,Business,Full Time,Any,3-4 year,BA,Position Title: Finance Audit Officer,Communication. Communication skills can help auditors convey their industry knowledge to business leaders and shareholders. ...
Kabul,National,Education,Full Time,Any,7 years,BA,Position Title: Script Writer - Pashto,
Kabul,National,Education,Full Time,Any,5 years,BA,Position Title: Education Expert (Physics),
Kabul,National,Education,Full Time,Any,7 years,BA,Position Title: Script Writer - Dari,
Kabul,National,Business,Full Time,Male,2 years,HS,Position Title: electrician,
Kabul,Any,Program/Project,Full Time,Any,2 years,MA,Position Title: Country Director,
Kabul,National,Business,Full Time,Male,2-4 years,BA,Position Title: Finance Officer,"Excellent working knowledge of English, both written and verbal. Fluent, both written and verbally, in Dari/Pashto."
Kabul,National,Education,Full Time,Male,1-3 years,BA,Position Title: Pharmacy Department Professor,
Balkh,Any,Education,Full Time,Any,3 years,BA,Position Title: English Trainer,Excellent communication skills- both spoken and written
Kabul,National,Program/Project,Full Time,Any,6 years,BA,Position Title: Grants Management Specialist - Grants Management and Reporting (GMR) (Re Announced),"University degree in organizational development, international relations, business administration, education, humanitarian affairs, public and social policy or related field(s)"
Nimruz,National,Program/Project,Full Time,Any,1 year,BA,"Position Title: Monitoring, Evaluation, Accountability and Learning (MEAL) Officer-Nimruz (Re Announced)",
Kabul,National,Business,Full Time,Any,3-6 years,BA,Position Title: Human Resources and Finance Manager,
Nimruz,National,Program/Project,Full Time,Any,10 years,BA,Position Title: Deputy Program Manager FOOD SECURITY AND LIVELIHOOD (Re Announced),
Kabul,National,Information Technology,Full Time,Any,3-6 years,BA,Position Title: IT Officer,
Kabul,National,Purchasing-Procurement,Full Time,Any,3-6 years,BA,Position Title: Procurement Officer,
Badakhshan,National,Program/Project,Full Time,Any,1 year,BA,Position Title: Surveyor/ Data Enumerator,Ability to use KoBo and ODK tools to record and transfer monitoring data;
Paktia,National,Health Care,Full Time,Female,5 years,MD,Position Title: Health Program Officer,"MD, Bachelor s degree in Midwifery, Nursing, Public Health or other health disciplines from a well-recognized Institute, Master s degree holders will be given preference"
Daikondi,National,Business,Full Time,Any,5 years,BA,Position Title: Base Finance Manager,
Kabul,National,Legal,Full Time,Any,3 years,BA,Position Title: Compliance and Audit Officer,
Kabul,National,Business,Full Time,Any,3 years,BA,Position Title: Finance and Budget Trainer,
Kabul,National,Program/Project,Full Time,Male,3 years,BA,Position Title: Proposal Writer and Trainer,
Kabul,National,Health Care,Full Time,Any,3 years,MD,Position Title: Stomatolog MD,
Kabul,National,Business,Full Time,Any,7 years,MA,Position Title: Head of Financial Reporting,"7 years working experience in finance, accounting, budgeting and/or projects contract management, at least 5 years in managerial level experience in financial/donors reporting with UN, EU, international donors , or INGOs  format."
Kabul,National,Business,Full Time,Male,2 years,BA,Position Title: Admin Finance Assistant,
Kabul,National,Business,Full Time,Male,2 years,BA,Position Title: Finance officer,
Kabul,National,Program/Project,Full Time,Any,3-5 years,BA,Position Title: Livelihood Officer,
Ghazni,National,Health Care,Full Time,Male,2 years,BA,Position Title: Vaccinator,
Khost,National,Health Care,Full Time,Male,3 years,MD,Position Title: EPI Officer,
Khost,National,Health Care,Full Time,Any,1 year,BA,Position Title: Vaccinator,
Khost,National,Health Care,Full Time,Any,1 year,BA,Position Title: Health Promoter,At least 1 years work experience in health promotion/EPI
