,Location,Nationality,Job_Category,Employment_Type,Gender,Years_Of_Experience,Minimum_Education,Job_Title
0,Kabul City,National,Business,Full Time,Male,8.0,BA,Position Title: Admin Finance Manager
1,Kabul City,International,Business,Part Time,Any,10.0,MA,Position Title: Grant Coordinator/Proposal Writer (international) only
2,Kabul City,Any,Business,Part Time,Female,10.0,MA,Position Title: Grant Coordinator/Proposal Writer (Female) only
3,West Zone,National,Business,Full Time,Any,3.0,BA,Position Title: Reporting and Data Management Officer
4,West Zone,National,Business,Full Time,Any,5.0,BA,Position Title: District Supervisors / Team Leaders
5,West Zone,National,Business,Full Time,Any,4.0,BA,Position Title: Food Distribution/Community Mobilizer
6,West Zone,National,Business,Full Time,Male,2.0,BA,Position Title: Stock Keeper
7,Kabul City,National,Business,Full Time,Any,4.0,BA,"Position Title: Admin, Finance and Logistic Officer (BGL UNESCO)"
8,Kabul Zone,National,Business,Full Time,Any,4.0,,Position Title: Cook
9,Kabul Zone,National,Security,Full Time,Any,4.0,,Position Title: Guard
10,Kabul City,National,Others,Full Time,Any,5.0,HS,Position Title: Supply Assistant
11,Central Highlands,National,Business,Full Time,Female,3.0,BA,Position Title: Psychosocial Counsellor
12,Kabul City,Any,Education,Part Time,Any,2.0,BA,"Position Title: School Teachers, Cambridge Subjects (Computer, Chemistry, Mathematics, Biology, Physics, English) & IT Manager"
13,Kabul City,National,Business,Full Time,Male,4.5,BA,Position Title: Deputy Sales & Marketing Manager
14,Kabul City,National,Engineering,Full Time,Any,2.5,BA,Position Title: Biomedical Engineer
15,Kabul City,National,Others,Full Time,Any,3.0,BA,Position Title: Expor Development Specialist
16,Kabul City,National,Others,Full Time,Any,4.0,BA,Position Title:Export Policy Specialist
17,Kabul City,National,Business,Full Time,Female,3.0,MD,Position Title: Monitoring and Evaluation (M&E) Officer (Re Announced)
18,West Zone,National,Business,Full Time,Any,1.0,BA,Position Title: Nurse
19,Kabul City,National,Education,Full Time,Female,0.0,BA,Position Title: Pashto and English Teacher
20,Kabul City,National,Others,Full Time,Male,3.5,BA,Position Title: Procurement and Documentation Officer
21,East Zone,National,Health,Full Time,Male,5.0,MD,Position Title: Orthopedic Specialist
22,Kabul City,National,Education,Part Time,Male,5.0,BA,Position Title: Instructor 
23,Kabul City,National,Others,Full Time,Any,7.0,BA,"Position Title: Executive, Corporate Sales"
24,Kabul City,National,Engineering,Full Time,Male,5.0,BA,Position Title: Civil Engineer
25,Kabul City,National,Business,Full Time,Any,5.0,BA,Position Title: Senior Audit Officer
26,Kabul City,National,Business,Full Time,Any,5.0,BA,Position Title: Business Development and Proposal Writing Specialist
27,Kabul City,National,IT,Full Time,Any,0.0,BA,Position Title: Web and Social Media Administrator
28,Kabul City,National,Education,Full Time,Female,6.0,MA,"Position Title: Professional Development Coordinator, ECD (Re Announced)"
29,Kabul City,National,Engineering,Full Time,Male,7.0,BA,Position Title: Proposal Writer ( Civil Engineer )
30,Kabul City,National,Business,Full Time,Any,4.0,MA,Position Title: Sales Trainer
31,South Zone,National,Engineering,Full Time,Any,2.0,BA,Position Title: Site Engineer
32,Kabul City,National,IT,Full Time,Any,5.0,BA,"Position Title: Monitoring, Evaluation, Accountability, and Learning (MEAL) Coordinator"
33,North-Zone,National,Health,Full Time,Any,10.0,MA,Position Title: HMIS Coordinator/Monitoring & Performance Manager (Re Announced)
34,West Zone,National,Business,Full Time,Any,2.0,BA,Position Title: MEAL Team Leader- Nimruz (Re Announced) (Re Announced)
35,Kabul City,National,Others,Full Time,Male,2.5,BA,Position Title: Medical Representative
36,East Zone,National,Education,Full Time,Male,2.0,BA,Position Title: Human Resource Manager
37,West Zone,National,Legal,Full Time,Any,3.0,BA,Position Title: Protection Officer
38,Kabul City,National,Business,Full Time,Any,3.0,BA,"Position Title: Operations, Admin and logistics officer (Re Announced)"
39,Kabul City,National,IT,Full Time,Male,4.5,MA,Position Title: IT Manager
40,Kabul City,National,Business,Full Time,Male,3.0,BA,Position Title: Chief Risk Officer (CRO) (Re Announced)
41,Kabul City,National,Business,Full Time,Any,3.0,BA,Position Title: Deputy Chief Risk Officer (Dy CRO)
42,Kabul City,National,Business,Full Time,Any,3.0,BA,Position Title: Digital Marketer
43,West Zone,National,Business,Full Time,Any,5.0,BA,Position Title: Administrative and HR Manager (Re Announced)
44,Kabul City,National,Business,Full Time,Any,5.0,BA,Position Title: HR Manager (Freelance)
45,Kabul City,National,Business,Full Time,Any,4.0,BA,Position Title: Accountant
46,Kabul City,National,Others,Full Time,Male,5.0,BA,Position Title: Admin &  Finance Manager
47,Kabul City,Any,Education,Full Time,Male,2.0,MA,Position Title: Lectureship
48,Kabul City,National,Others,Full Time,Male,3.0,HS,Position Title: Laundry Officer
49,North-Zone,National,Agriculture,Full Time,Any,3.0,BA,Position Title: Horticulture Assistant (Re Announced)
50,North-Zone,National,Engineering,Full Time,Male,6.0,BA,Position Title: Road Project Engineer / Construction Manager
51,Kabul City,National,Business,Full Time,Male,4.0,BA,Position Title: Finance and Money Exchange Manager
52,Kabul City,National,Business,Full Time,Any,4.0,BA,Position Title: Last Mile Assurance Officer
53,East Zone,National,Business,Full Time,Any,2.0,HS,Position Title: Section Leader (SL) for AIM team DRC-HDP
54,East Zone,National,Business,Full Time,Any,2.0,HS,Position Title: AIM Searcher-DRC- HDP
55,Central Highlands,National,Education,Full Time,Female,5.0,BA,Position Title: Education Officer
56,East Zone,National,Others,Full Time,Any,1.0,SS,Position Title: Assistant Inventory Control (Casual) - Jalalabad
57,West Zone,National,Business,Full Time,Any,2.0,BA,Position Title: Economic Recovery Officer (SME)
58,West Zone,National,Business,Full Time,Any,3.0,BA,Position Title: Economic Recovery Officer (Cash for Work)
59,Kabul Zone,National,Business,Full Time,Female,2.0,BA,Position Title: Hygiene Promotion Officer-Kabul/Kapisa
