location,Nationality,job_Category,EmploymentType,gender,Experience_years,min Education,Name,KeySkills
Kabul,National,Business,Full Time,Male,8 years,BA,Position Title: Admin Finance Manager,
Kabul,International,Business,Part Time,Any,8-12 years,MA,Position Title: Grant Coordinator/Proposal Writer (international) only,
Kabul,Any,Business,Part Time,Female,8-12 years,MA,Position Title: Grant Coordinator/Proposal Writer (Female) only,
Herat,National,Program/Project,Full Time,Any,3 years,BA,Position Title: Reporting and Data Management Officer,
Herat,National,Program/Project,Full Time,Any,5 years,BA,Position Title: District Supervisors / Team Leaders,
Herat,National,Program/Project,Full Time,Any,4 years,BA,Position Title: Food Distribution/Community Mobilizer,
Herat,National,Program/Project,Full Time,Male,2 years,BA,Position Title: Stock Keeper,
Kabul,National,Business,Full Time,Any,4 years,BA,"Position Title: Admin, Finance and Logistic Officer (BGL UNESCO)",
Maidan Wardak,National,Support,Full Time,Any,4 years,None,Position Title: Cook,
Maidan Wardak,National,Security,Full Time,Any,4 years,None,Position Title: Guard,
Kabul,National,Other,Full Time,Any,5 years,HS,Position Title: Supply Assistant,
Bamian,National,Program/Project,Full Time,Female,3 years,BA,Position Title: Psychosocial Counsellor,
Kabul,Any,Education,Part Time,Any,1-3 Years,BA,"Position Title: School Teachers, Cambridge Subjects (Computer, Chemistry, Mathematics, Biology, Physics, English) & IT Manager",
Kabul,National,Business,Full Time,Male,4-5 Years,BAs,Position Title: Deputy Sales & Marketing Manager,
Kabul,National,Engineering,Full Time,Any,2-3 years,BA,Position Title: Biomedical Engineer,
Kabul,National,Professional Services,Full Time,Any,3 years,BA,Position Title: Expor Development Specialist,
Kabul,National,Professional Services,Full Time,Any,4 years,BA,Position Title:Export Policy Specialist,
Kabul,National,Program/Project,Full Time,Female,3 years,MD,Position Title: Monitoring and Evaluation (M&E) Officer (Re Announced),
Farah,National,Program/Project,Full Time,Any,1 Year,BA,Position Title: Nurse,At least one years? experience in relevant clinical fields
Kabul,National,Education,Full Time,Female,None ,BA,Position Title: Pashto and English Teacher,
Kabul,National,Other,Full Time,Male,3-4 Years,BA,Position Title: Procurement and Documentation Officer,
Khost,National,Health Care,Full Time,Male,5 Years,MD,Position Title: Orthopedic Specialist,
Kabul,National,Education,Part Time,Male,5 years,BA,Position Title: Instructor ,
Kabul,National,Sales,Full Time,Any,7 years,BA,"Position Title: Executive, Corporate Sales","Having computer knowledge, (MS Office, internet & email)"
Kabul,National,Engineering,Full Time,Male,5 years,BA,Position Title: Civil Engineer,
Kabul,National,Banking/Accounting,Full Time,Any,5 years,BA,Position Title: Senior Audit Officer,"In-depth knowledge in Audit conduction, documentation and reporting;"
Kabul,National,Business,Full Time,Any,5 years,BA,Position Title: Business Development and Proposal Writing Specialist,
Kabul,National,Information Technology,Full Time,Any,3years,BA,Position Title: Web and Social Media Administrator,
Kabul,National,Education,Full Time,Female,6 years,MA,"Position Title: Professional Development Coordinator, ECD (Re Announced)",
Kabul,National,Construction,Full Time,Male,7 Years,BA,Position Title: Proposal Writer ( Civil Engineer ),
Kabul,National,Program/Project,Full Time,Any,4 years,MA,Position Title: Sales Trainer,
Kandahar,National,Construction,Full Time,Any,2 years,BA,Position Title: Site Engineer,
Kabul,National,Information Technology,Full Time,Any,5 years,BA,"Position Title: Monitoring, Evaluation, Accountability, and Learning (MEAL) Coordinator",
Balkh,National,Health Care,Full Time,Any,10 years,MA,Position Title: HMIS Coordinator/Monitoring & Performance Manager (Re Announced),
Nimruz,National,Program/Project,Full Time,Any,2 years,BA,Position Title: MEAL Team Leader- Nimruz (Re Announced) (Re Announced),
Kabul,National,Sales,Full Time,Male,2-3 Years,BA,Position Title: Medical Representative,
Nangarhar,National,Education,Full Time,Male,2 years,BA,Position Title: Human Resource Manager,
Badghis,National,Legal,Full Time,Any,3 Years,BA,Position Title: Protection Officer,"University degree, law and/or other social sciences faculties"
Kabul,National,Business,Full Time,Any,3 Years,BA,"Position Title: Operations, Admin and logistics officer (Re Announced)",
Kabul,National,Information Technology,Full Time,Male,4-5 years,MA,Position Title: IT Manager,
Kabul,National,Banking/Accounting,Full Time,Male,3 years,BA,Position Title: Chief Risk Officer (CRO) (Re Announced),Three years of managerial work experience in risk management of banks.
Kabul,National,Banking/Accounting,Full Time,Any,3 years,BA,Position Title: Deputy Chief Risk Officer (Dy CRO),Three years of managerial work experience in risk management of banks.
Kabul,National,Business,Full Time,Any,3 years,BA,Position Title: Digital Marketer,
Herat,National,Business,Full Time,Any,5 years,BA,Position Title: Administrative and HR Manager (Re Announced),"Excellent writing and speaking skills in Pashto, Dari and English are required."
Kabul,National,Business,Full Time,Any,5 years,BA,Position Title: HR Manager (Freelance),
Kabul,National,Business,Full Time,Any,3-5 years,BA,Position Title: Accountant,
Kabul,National,Other,Full Time,Male,5 years,BA,Position Title: Admin &  Finance Manager,
Kabul,Any,Education,Full Time,Male,2 Years,MA,Position Title: Lectureship,Demonstrated ability to resolve problems both independently and collaboratively
Kabul,National,Other,Full Time,Male,3 years,HS,Position Title: Laundry Officer,
Balkh,National,Agriculture,Full Time,Any,3 years,BA,Position Title: Horticulture Assistant (Re Announced),
Balkh,National,Construction,Full Time,Male,6 years,BA,Position Title: Road Project Engineer / Construction Manager,
Kabul,National,Business,Full Time,Male,4 years,BA,Position Title: Finance and Money Exchange Manager,
Kabul,National,Program/Project,Full Time,Any,3-5 years,BA,Position Title: Last Mile Assurance Officer,
Nangarhar,National,Program/Project,Full Time,Any,2 years,HS,Position Title: Section Leader (SL) for AIM team DRC-HDP,2 years? experience in the mine action program (clerance and EOD)
Nangarhar,National,Program/Project,Full Time,Any,2 years,HS,Position Title: AIM Searcher-DRC- HDP,"2 years? experience in mine action program (Clearance, EOD, Survey, and demining operation)."
Ghazni,National,Education,Full Time,Female,5 years,BA,Position Title: Education Officer,
Nangarhar,National,Other,Full Time,Any,1 Year,SS,Position Title: Assistant Inventory Control (Casual) - Jalalabad,
Farah,National,Program/Project,Full Time,Any,2 years,BA,Position Title: Economic Recovery Officer (SME),Minimum of 2 years of experience required in implementing Livelihoods interventions oriented to micro/cash for work activities.
Farah,National,Program/Project,Full Time,Any,3 years,BA,Position Title: Economic Recovery Officer (Cash for Work),Minimum of 3 years? work experience in relevant construction work
Kapisa,National,Program/Project,Full Time,Female,2 years,BAs,Position Title: Hygiene Promotion Officer-Kabul/Kapisa,
Khost,National,Communication,Full Time,Any,4 years,BA,Position Title: Community Mobilization Officer,
