location,Nationality,job_Category,EmploymentType,gender,Experience_years,min Education,Name,KeySkills
Kabul,National,Business,Full Time,Male,8 years,BA,Position Title: Admin Finance Manager,
Kabul,Any,Health Care,Full Time,Male,2 years,MA,Position Title: General Physician Specialist,
Kabul,National,Business,Full Time,Any,4 years,BA,Position Title: Area Program Manager,
Nangarhar,National,Construction,Full Time,Any,4 years,BA,Position Title: Engineers for Jalalabad,
Herat,National,Business,Full Time,Any,3 years,BA,Position Title: Digital Marketer (Herat Local Recruitment),
Kabul,National,Other,Full Time,Any,7 years,BA,Position Title: Event Manager,
Kunar,National,Other,Full Time,Female,2 years,BA,Position Title: Eterprise Officer,
Kunar,National,Other,Full Time,Female,1-2 years,BA,Position Title: Legal Officer,
Kabul,National,Health Care,Full Time,Any,3 years,MD,Position Title: Stomatolog MD,
Kabul,National,Banking/Accounting,Full Time,Male,2 years,BA,Position Title: Admin Finance Assistant,
Kabul,National,Banking/Accounting,Full Time,Male,2 years,BA,Position Title: Finance officer,
Zabul,National,Health Care,Full Time,Female,2 years,BA,Position Title: Midwife Activity Manager (Re Announced),
Kabul,National,Health Care,Full Time,Female,3 years,BA,Position Title: OBGYN Specialist,
Kabul,National,Health Care,Full Time,Any,3 years,BA,Position Title: Dermatologist,
Kabul,Any,Other,Part Time,Any,2 years,BA,Position Title: Marketing Manager,
Kabul,National,Business,Full Time,Any,5-7 years,MA,Position Title: Finance and Admin Manager,
Kabul,National,Construction,Full Time,Any,5 years,BA,Position Title: Project Manager (Construction),
Badakhshan,National,Security,Full Time,Male,5 years,BA,Position Title: Regional Security & Access Officer (RO  Security),At least 5 years experience of working with INGOs in security and safety or related fields.
Kabul,National,Program/Project,Full Time,Any,3 years,BA,Position Title: Reporting officer,
Kabul,National,Health Care,Full Time,Any,10 years,MD,Position Title: National Project Manager Health Emergency Response (HER),
Kabul,National,Security,Full Time,Male,4 year,HS,Position Title: Security Officer,
Badakhshan,National,Other,Full Time,Any,1 year,BA,Position Title: Data Collectors (couples),
Nangarhar,National,Business,Full Time,Any,4 years,BA,Position Title: Micro Finance Officer  Jalalabad,
Kunduz,National,Business,Full Time,Any,4 years,BA,Position Title: Micro Finance Officer  Kunduz,
Kunduz,National,Business,Full Time,Any,4 years,BA,Position Title: Micro Finance Officer  Kunduz,
Balkh,National,Business,Full Time,Any,4 years,BA,Position Title: Micro Finance Officer  Mazar,
Herat,National,Business,Full Time,Any,4 years,BA,Position Title: Micro Finance Officer  Herat,
Kabul,National,Business,Full Time,Any,4 years,BA,Position Title: Micro Finance Officer  Kabul,
Kabul,National,Other,Full Time,Any,4-5 years,BA,Position Title: Learning and Social Development Programme Coordinator,
Logar,National,Other,Full Time,Male,2 years,BA,Position Title: Lab Technician,At least 2 years of progressively responsible professional work experience in laboratory.
Logar,National,Other,Full Time,Male,2 years,BA,Position Title: Lab Assistant,At least 2 years of progressively responsible professional work experience in laboratory sampling.
Logar,National,Other,Full Time,Male,2 years,BA,Position Title: Sample Preparing Technician,At least 2 years of progressively responsible professional work experience in laboratory sampling.
Kabul,National,Business,Full Time,Male,3-4 years,BA,Position Title: Field Manager,
Kabul,National,Business,Full Time,Any,5 years,BA,Position Title: MHPSS Technical Working Group Coordinator (Re Announced),Mandatory excellent knowledge/experience in Mental Health and Psychosocial Support
Helmand,National,Business,Full Time,Any,1 year,BA,Position Title: TFU Doctor,
Kabul,National,Other,Full Time,Any,4 years,BA,Position Title: Logistics Officer,"Enjoys a challenge and works hard to achieve objectives,"
Kabul,National,Security,Full Time,Female,2 years,HS,Position Title: Guard (Female Only),Knowledge of Kabul central regions context
Kabul,National,Health Care,Part Time,Any,5 years,BA,Position Title: Psychosocial Counsellor,A minimum of 5 years related professional working experience as a counsellor
Badghis,National,Program/Project,Full Time,Male,3 years,BA,Position Title: Marketing Officer,Minimum of 3 years experience in marketing with private NGOs;
Kabul,National,Business,Full Time,Any,2 years,BA,Position Title: Analyst  Billing & Credit Control,
Badghis,National,Program/Project,Full Time,Any,3 years,MD,Position Title: Nutrition Specialist,Minimum of 3 years experience in relevant field;
Badghis,National,Program/Project,Full Time,Male,3 years,BA,Position Title: Agriculture Specialist,Minimum of 3 years experience in relevant field;
Kabul,National,Support,Full Time,Any,3-4 years,BA,Position Title: Area Support Manager,Managing resources to optimize results
Herat,National,Program/Project,Full Time,Any,2 years,BA,"Position Title: Nutrition Officer, NOB, Fixed Term, Herat, Afghanistan, Position # 90267 (Open for Afghan Nationals Only)",
Helmand,National,Banking/Accounting,Full Time,Male,2 years,BA,Position Title: Teller,
Herat,National,Banking/Accounting,Full Time,Male,2 years,BA,Position Title: Head Teller,
Helmand,National,Banking/Accounting,Full Time,Male,2 years,BA,Position Title: Customer Service Representative (CSR),
Paktia,National,Health Care,Full Time,Female,2-3 years,HS,Position Title: House Mother,High school diploma is required and a diploma in a relevant field
Kabul,National,Business,Full Time,Male,3year,MA,Position Title: Internal Audit Officer,
Kabul,Any,Information Technology,Full Time,Any,5 years,BA,Position Title: IT / LAN MANAGER,
Kabul,National,Banking/Accounting,Full Time,Any,3-5 years,BA,Position Title: Islamic Finance Officer Kabul,
